id,zorluk,kategori,soru,beklenen_kaynak,dokumanda_var_mi,cevap,referans_cevaplar,em_score,em_soft_score,f1_score,precision,recall,rouge_l,semantic_sim,retrieval_match,retrieval_sira,siniflandirma,referans_var_mi,sure_sn
1,Kolay,Kolay,G4.1 dilbilgisinde VT kümesinin elemanları nelerdir?,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,"G4.1 dilbilgisinde VT kümesinin elemanları {+, -, *, /, (, ), v, c} dir.","G4.1'de VT = {+, -, *, /, (, ), v, c} kümesidir. | VT = {+, -, *, /, (, ), v, c} | {+, -, *, /, (, ), v, c} | +, -, *, /, (, ), v, c | {+, -, *, /, (, ), v, c} kümesidir. | Artı, eksi, çarpı, bölü, parantezler, v ve c simgeleridir.",0.0,100.0,75.9,73.3,78.6,75.9,86.6,Evet,1,TP,Evet,34.12
2,Kolay,Kolay,Bağlamdan bağımsız dilbilgisinde P harfi neyi temsil eder?,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,"P, yeniden yazma ya da türetme kuralları kümesini temsil eder. Bu kurallar, dilbilgisindeki değişkenleri diğer değişkenler veya uç simgelerle yeniden yazma işlemi gerçekleştirir.","P, dilbilgisinin yeniden yazma (türetme) kurallarını temsil eder. | Yeniden yazma ya da türetme kuralları | Türetme kuralları | Yeniden yazma kuralları | Yeniden yazma veya türetme kurallarını temsil eder.",100.0,100.0,41.4,26.1,100.0,41.4,86.8,Evet,1,TP,Evet,23.55
3,Kolay,Kolay,Başlangıç değişkeni hangi sembolle gösterilir ve hangi kümenin elemanıdır?,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,S başlangıç değişkeni gösterilir ve VN kümenin elemanıdır.,"Başlangıç değişkeni S sembolüyle gösterilir ve S ∈ VN'dir (sözdizim değişkenleri kümesinin elemanıdır). | S sembolü ile gösterilir ve VN (sözdizim değişkenleri) kümesinin elemanıdır. | S sembolüyle gösterilir, VN kümesinin elemanıdır. | S, VN elemanıdır (S ∈ VN). | S sembolü, VN (değişkenler kümesi)",0.0,0.0,63.6,87.5,50.0,57.1,84.4,Evet,1,TP,Evet,19.8
4,Kolay,Kolay,VN ve VT kümeleri arasındaki ilişki nedir (ayrık mıdır kesişir mi)?,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,AYRIK kümelerdir. VN ve VT ayrık kümelerdir ve birbirleriyle kesişmez.,"VN ve VT ayrık kümelerdir; kesişimleri boş kümedir (VN ∩ VT = Ø). | Ayrık kümelerdir (kesişimleri boştur, VN ∩ VT = ∅). | VN ve VT ayrık kümelerdir. | Ayrıktır, kesişimleri boştur. | Ayrık kümelerdir.",100.0,100.0,66.7,50.0,100.0,66.7,89.2,Evet,1,TP,Evet,20.17
5,Kolay,Kolay,Bir türetme ağacının kökünün etiketi ne olmalıdır?,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,S' dir.,Türetme ağacının kökünün etiketi S'dir. | S | S'dir | Ağacın kökünün etiketi S (başlangıç değişkeni) olmalıdır. | S olmalıdır.,100.0,100.0,100.0,100.0,100.0,100.0,80.0,Evet,1,TP,Evet,17.23
6,Kolay,Kolay,G4.2 dilbilgisinin uç simgeler (VT) kümesi nelerdir?,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,"VT = {a, b, c, d}","G4.2'de VT = {a, b, c, d} kümesidir. | VT = {a, b, c, d} | {a, b, c, d} | a, b, c, d | {a, b, c, d} kümesidir. | a, b, c ve d simgeleridir.",100.0,100.0,100.0,100.0,100.0,100.0,100.0,Evet,1,TP,Evet,21.14
7,Orta,Orta,G4.1 dilbilgisinde S=>S*S=>S*(S)=>S*(S-S)=>v*(S-S)=>v*(v-S)=>v*(v-c) türetmesi sonunda hangi tümce elde edilmiştir?,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,v*(v-c),Bu türetme sonunda w = v*(v-c) tümcesi elde edilmiştir. | v*(v-c) | w = v*(v-c) | v*(v-c) tümcesi elde edilmiştir. | v*(v-c) tümcesidir.,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Evet,1,TP,Evet,21.08
8,Orta,Orta,"L(G4.2) dili nasıl tanımlanmıştır; n, m, p, k parametreleri arasındaki koşullar nelerdir?",8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,"L(G4.2) dili如下定义：
L(G4.2) ={anbmckdp | n,m,p,k ≥1, p>n, k>m} 其中，n, m, p, k 的条件是：n、m、p 和 k 均大于等于1，且 p 大于 n，k 大于 m。","L(G4.2) = {aⁿbᵐcᵏdᵖ | n,m,p,k ≥ 1, p > n, k > m} biçiminde tanımlanır — yani a sayısı n, b sayısı m, c sayısı k, d sayısı p olmak üzere, d sayısı a sayısından fazla (p>n) ve c sayısı b sayısından fazla (k>m) olmalıdır. | L(G4.2) = { a^n b^m c^k d^p | n,m,p,k ≥ 1, p>n, k>m } | {aⁿbᵐcᵏdᵖ | n,m,p,k ≥ 1, p > n, k > m} | {a^n b^m c^k d^p | n,m,p,k >= 1, p > n, k > m} | n, m, p, k ≥ 1 olmak üzere p > n ve k > m koşulları sağlanmalıdır.",0.0,0.0,59.6,51.5,70.8,49.1,87.6,Evet,1,TP,Evet,25.35
9,Orta,Orta,G4.3 dilbilgisi tarafından türetilen L(G4.3) dilinin küme tanımını yazınız.,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,"L(G4.3) = {anbmck | n≥1, k≥1 m≥2n}","L(G4.3) = {aⁿbᵐcᵏ | n≥1, k≥1, m≥2n} | L(G4.3) = { a^n b^m c^k | n ≥ 1, k ≥ 1, m ≥ 2n } | {aⁿbᵐcᵏ | n≥1, k≥1, m≥2n} | {a^n b^m c^k | n>=1, k>=1, m>=2n} | a^n b^m c^k kümesidir, burada n>=1, k>=1 ve m>=2n koşulu vardır.",0.0,0.0,90.0,90.0,90.0,90.0,99.7,Evet,1,TP,Evet,23.21
10,Orta,Orta,Soldan türetme ile sağdan türetme arasındaki temel fark nedir?,8-Baglamdan_bagimsiz_dilbilgisi.pdf,Evet,"Soldan türetme her adımda en soldaki değişkene türetme uygularken, sağdan türetme her adımda en sağdaki değişkene türetme uygular.","Soldan türetmede her adımda en soldaki değişkene kural uygulanır; sağdan türetmede ise her adımda en sağdaki değişkene kural uygulanır. | Soldan türetmede her adımda en soldaki değişkene, sağdan türetmede ise her adımda en sağdaki değişkene türetme uygulanır. | Soldan türetme en soldaki değişkene, sağdan türetme ise en sağdaki değişkene öncelik verir/kural uygular.",0.0,0.0,74.3,72.2,76.5,74.3,97.6,Evet,1,TP,Evet,27.36
